着順,馬番,馬名,性齢,負担重量,騎手,推定上り,馬体重（増減）,調教師,人気,降水量(合計),気温(平均),風速(平均),風向(最多)
2,11,サツキマス,牝2,54,戸崎 圭太,38.2,456(+2),田島 俊明,1,0,17.7,1.3,東北東
3,9,トーアリュウジン,せん2,55,柴田 善臣,38.6,486(+14),藤原 辰雄,2,0,17.7,1.3,東北東
4,2,カラーズオブラヴ,牝2,54,武士沢 友治,38.8,456(0),和田 勇介,6,0,17.7,1.3,東北東
5,1,アルトゥーロ,牡2,55,嶋田 純次,38.1,422(+6),南田 美知雄,3,0,17.7,1.3,東北東
6,4,アルディビート,牡2,52,▲菅原 明良,38.3,462(-8),土田 稔,8,0,17.7,1.3,東北東
7,3,ノヘア,牝2,54,北村 宏司,39.4,420(-2),伊藤 大士,4,0,17.7,1.3,東北東
8,5,ラカルマ,牝2,54,木幡 初也,38.4,474(+2),杉浦 宏昭,9,0,17.7,1.3,東北東
9,7,コイツバメカツコ,牝2,54,木幡 巧也,39.5,432(0),黒岩 陽一,7,0,17.7,1.3,東北東
10,6,ショウリオウ,牡2,55,菅原 隆一,39,444(+4),武市 康男,11,0,17.7,1.3,東北東
11,8,イノセントグラム,牡2,53,△木幡 育也,37.8,468(-6),伊藤 伸一,12,0,17.7,1.3,東北東
12,12,ネガワンニダ,牡2,55,江田 照男,38.9,404(+4),本間 忍,10,0,17.7,1.3,東北東
,,,,,,,,,,,,,
2019/10/15,2R,異常値あり,,,,,,,,,,,
1,11,アミークス,牝2,54,三浦 皇成,34.2,442(+2),栗田 徹,1,0,17.7,1.3,東北東
2,12,プラットフォーマー,牝2,54,戸崎 圭太,35,434(-6),矢野 英一,4,0,17.7,1.3,東北東
3,4,タマノシュシュ,牝2,54,田辺 裕信,34.9,428(-2),菊川 正達,2,0,17.7,1.3,東北東
4,8,レディトゥラン,牝2,51,▲菅原 明良,34.8,412(-6),加藤 和宏,7,0,17.7,1.3,東北東
5,5,ヒガシヴァルキリー,牝2,53,☆横山 武史,35.3,412(+2),林 徹,3,0,17.7,1.3,東北東
6,1,アルソリート,牝2,54,岩田 康誠,35.3,484(0),久保田 貴士,8,0,17.7,1.3,東北東
7,7,ヒューズライン,牝2,54,丹内 祐次,34.9,438(-4),高橋 祥泰,5,0,17.7,1.3,東北東
8,10,ゼンダンスネーク,牝2,54,吉田 豊,34.8,470(+4),土田 稔,12,0,17.7,1.3,東北東
9,6,オウケンアマゾネス,牝2,54,大野 拓弥,35.1,428(0),和田 勇介,6,0,17.7,1.3,東北東
10,13,ダンサーズドリーム,牝2,54,江田 照男,35,434(+4),深山 雅史,10,0,17.7,1.3,東北東
11,3,エクメディクイーン,牝2,54,内田 博幸,36.3,392(-2),深山 雅史,9,0,17.7,1.3,東北東
12,2,シゲルビアンカ,牝2,54,嘉藤 貴行,36,404(+6),清水 英克,11,0,17.7,1.3,東北東
取消,9,ソスピタ,牝2,53,☆野中 悠太郎,,,畠山 吉宏,,,,,
,,,,,,,,,,,,,
2019/10/15,３R,,,,,,,,,,,,
1,1,ラグビーボーイ,牡2,55,北村 宏司,33.9,484(-4),勢司 和浩,4,0,17.7,1.3,東北東
2,2,ヴィアメント,牡2,55,三浦 皇成,33.4,480(0),鹿戸 雄一,1,0,17.7,1.3,東北東
3,8,プリマジア,牡2,55,横山 典弘,33.8,452(-2),金成 貴史,2,0,17.7,1.3,東北東
4,7,リメインオブザデイ,牝2,51,▲藤田 菜七子,34.9,400(+4),田島 俊明,5,0,17.7,1.3,東北東
5,4,ステラドーロ,牝2,54,柴田 大知,34.9,450(+2),畠山 吉宏,3,0,17.7,1.3,東北東
6,6,ウォッシュトレード,牡2,55,内田 博幸,33.9,464(0),浅野 洋一郎,8,0,17.7,1.3,東北東
7,5,コスモプロケッラ,牡2,55,丹内 祐次,34.4,440(+2),蛯名 利弘,6,0,17.7,1.3,東北東
8,9,フラッグタワー,牡2,54,☆野中 悠太郎,34.9,436(-4),和田 正一郎,7,0,17.7,1.3,東北東
9,3,セキセキ,牡2,52,▲山田 敬士,36.4,450(+6),田中 清隆,9,0,17.7,1.3,東北東
,,,,,,,,,,,,,
2019/10/15,4R,,,,,,,,,,,,
1,2,タイセイポリシー,牡2,54,☆横山 武史,36.2,466(初出走),栗田 徹,8,0,17.7,1.3,東北東
2,13,マルガイニュートンテソーロ,牡2,55,大野 拓弥,35.9,482(初出走),田中 博康,1,0,17.7,1.3,東北東
3,7,ファイブリーフ,牡2,55,木幡 巧也,36.6,492(初出走),岩戸 孝樹,4,0,17.7,1.3,東北東
4,3,ブレイキングバッド,牡2,55,津村 明秀,37.3,478(初出走),松山 将樹,12,0,17.7,1.3,東北東
5,5,メシアン,牝2,51,▲藤田 菜七子,38.3,438(初出走),和田 勇介,5,0,17.7,1.3,東北東
6,4,スマートクレイン,牝2,54,武 豊,37.4,516(初出走),尾関 知人,6,0,17.7,1.3,東北東
7,10,シゲルハウメア,牡2,55,武士沢 友治,37.9,448(初出走),蛯名 利弘,14,0,17.7,1.3,東北東
8,9,アポロバレッタ,牝2,54,吉田 豊,37.7,462(初出走),矢野 英一,10,0,17.7,1.3,東北東
9,16,ウイルホースバイオ,牡2,55,三浦 皇成,38.5,442(初出走),奥平 雅士,2,0,17.7,1.3,東北東
10,8,スローフード,牝2,54,北村 宏司,39.5,436(初出走),田島 俊明,7,0,17.7,1.3,東北東
11,14,ニシノストロング,牡2,54,☆野中 悠太郎,37.6,496(初出走),小島 茂之,13,0,17.7,1.3,東北東
12,12,マルガイジュフォン,牡2,55,岩田 康誠,38.8,494(初出走),和田 正一郎,3,0,17.7,1.3,東北東
13,6,カツノセヴンス,牡2,55,宮崎 北斗,39.2,462(初出走),伊藤 伸一,11,0,17.7,1.3,東北東
14,11,ゴールドハーレー,牡2,52,▲菅原 明良,39.1,476(初出走),尾形 和幸,9,0,17.7,1.3,東北東
15,15,パンプキンパッチ,牝2,54,丹内 祐次,40,436(初出走),佐藤 吉勝,16,0,17.7,1.3,東北東
16,1,キングズランド,牡2,55,江田 照男,43.9,428(初出走),鹿戸 雄一,15,0,17.7,1.3,東北東
,,,,,,,,,,,,,
2019/10/15,5R,,,,,,,,,,,,
1,7,フローズンスタイル,牝2,54,田辺 裕信,34.4,446(初出走),黒岩 陽一,3,0,17.7,1.3,東北東
2,6,ミスミルドレッド,牝2,54,M.デムーロ,33.7,436(初出走),小島 茂之,8,0,17.7,1.3,東北東
3,2,ビターエンダー,牡2,55,津村 明秀,33.7,466(初出走),相沢 郁,1,0,17.7,1.3,東北東
4,8,ミッキーハッスル,牡2,54,☆横山 武史,34,454(初出走),久保田 貴士,9,0,17.7,1.3,東北東
5,9,レッドライデン,牡2,55,武 豊,35.1,464(初出走),鹿戸 雄一,2,0,17.7,1.3,東北東
6,3,マイネルデステリョ,牡2,55,柴田 大知,34.4,446(初出走),畠山 吉宏,6,0,17.7,1.3,東北東
7,5,スピッツェンバーグ,牡2,55,岩田 康誠,35.5,458(初出走),武井 亮,4,0,17.7,1.3,東北東
8,1,サクラヴァルール,牡2,55,横山 典弘,34.5,474(初出走),尾関 知人,7,0,17.7,1.3,東北東
9,4,アルディエンテ,牡2,55,戸崎 圭太,35.7,490(初出走),古賀 慎明,5,0,17.7,1.3,東北東
,,,,,,,,,,,,,
2019/10/15,9R,,,,,,,,,,,,
1,10,タガノビューティー,牡2,55,石橋 脩,34.8,502(+2),西園 正都,4,0,17.7,1.3,東北東
2,9,マルガイセラン,牝2,54,武 豊,36,488(+10),松永 幹夫,1,0,17.7,1.3,東北東
3,4,ニシノレオニダス,牡2,55,大野 拓弥,36.3,504(0),中舘 英二,10,0,17.7,1.3,東北東
4,8,フィロロッソ,牡2,55,戸崎 圭太,36,460(-8),中竹 和也,2,0,17.7,1.3,東北東
5,2,マルガイイモータルスモーク,牡2,55,M.デムーロ,36.5,482(+12),金成 貴史,3,0,17.7,1.3,東北東
6,11,ハーモニーマゼラン,牡2,55,木幡 巧也,37,504(-4),牧 光二,5,0,17.7,1.3,東北東
7,7,ミャゴラーレ,牡2,55,田辺 裕信,36.6,500(+2),黒岩 陽一,7,0,17.7,1.3,東北東
8,3,マイネルアストリア,牡2,55,内田 博幸,37.8,472(0),武市 康男,8,0,17.7,1.3,東北東
9,1,トライフォーリアル,牡2,55,三浦 皇成,37.8,494(0),萩原 清,6,0,17.7,1.3,東北東
10,6,デルマガーネット,牝2,54,菊沢 一樹,38.7,442(-6),堀井 雅広,11,0,17.7,1.3,東北東
11,5,グッドブリッジ,牡2,55,津村 明秀,39.8,468(0),高橋 文雅,9,0,17.7,1.3,東北東
,,,,,,,,,,,,,
2019/10/19,1R,異常値あり,,,,,,,,,,,
1,5,ハルプモント,牡2,55,内田 博幸,37,490(+2),池上 昌和,4,42,17.5,1.2,北西
2,2,キララ,牝2,54,大野 拓弥,38.3,470(-8),田島 俊明,1,42,17.5,1.2,北西
3,8,ハディア,牡2,55,津村 明秀,38.4,456(+4),粕谷 昌央,3,42,17.5,1.2,北西
4,7,クィーンアドバンス,牝2,54,北村 宏司,38.2,458(+2),勢司 和浩,2,42,17.5,1.2,北西
5,12,センノベステス,牡2,55,吉田 豊,38,476(-8),南田 美知雄,5,42,17.5,1.2,北西
6,4,エクメディノツルギ,牝2,51,▲山田 敬士,38.5,424(-6),深山 雅史,6,42,17.5,1.2,北西
7,1,ショウゲキノノロシ,牡2,55,石川 倭,37.9,424(+6),小桧山 悟,12,42,17.5,1.2,北西
8,6,トーセンウエーブ,牡2,55,柴田 大知,38.3,428(0),松永 康利,11,42,17.5,1.2,北西
9,3,ネオアンビシャス,牝2,53,☆武藤 雅,38.8,458(-8),林 徹,8,42,17.5,1.2,北西
10,11,アッシュ,せん2,55,三浦 皇成,39.9,432(+2),田中 博康,7,42,17.5,1.2,北西
11,10,プリズムストーン,牡2,54,☆野中 悠太郎,39.6,476(+8),根本 康広,10,42,17.5,1.2,北西
12,13,テイエムピカピカ,牝2,53,☆菊沢 一樹,40.6,466(+6),石栗 龍彦,9,42,17.5,1.2,北西
除外,9,マルガイレイクマッジョーレ,牡2,55,木幡 巧也,,472(-6),土田 稔,,42,17.5,1.2,北西
,,,,,,,,,,,,,
2019/10/19,２R,,,,,,,,,,,,
1,8,シンハリング,牝2,54,M.デムーロ,35.1,470(-4),国枝 栄,2,42,17.5,1.2,北西
2,7,クリノプレミアム,牝2,54,松岡 正海,35.4,456(-4),伊藤 伸一,5,42,17.5,1.2,北西
3,4,ナゲキッス,牝2,54,江田 照男,35.6,422(+4),大江原 哲,10,42,17.5,1.2,北西
4,10,チアチアクラシカ,牝2,54,武 豊,35.4,490(0),堀井 雅広,1,42,17.5,1.2,北西
5,1,バイカル,牝2,54,柴田 大知,35.4,452(-4),勢司 和浩,9,42,17.5,1.2,北西
6,3,シラカバ,牝2,53,☆武藤 雅,35.8,452(-2),戸田 博文,6,42,17.5,1.2,北西
7,5,シャトン,牝2,53,☆野中 悠太郎,35.9,452(+8),高橋 文雅,8,42,17.5,1.2,北西
8,12,モノポリーアイズ,牝2,54,横山 典弘,35.8,434(+2),武井 亮,4,42,17.5,1.2,北西
9,2,トルニ,牝2,54,吉田 豊,35.7,458(0),高橋 裕,3,42,17.5,1.2,北西
10,11,ベルアンブル,牝2,54,田辺 裕信,36.3,434(-2),奥村 武,7,42,17.5,1.2,北西
11,6,ハルノマリーナ,牝2,51,▲山田 敬士,36.5,462(+2),小桧山 悟,12,42,17.5,1.2,北西
12,9,スプリングブリーズ,牝2,54,武士沢 友治,36.4,460(+4),萱野 浩二,11,42,17.5,1.2,北西
,,,,,,,,,,,,,
2019/10/19,３R,,,,,,,,,,,,
1,6,アドマイヤアリエル,牝2,54,C.ルメール,35.2,436(-2),加藤 征弘,1,42,17.5,1.2,北西
2,1,エリーストーム,牝2,53,☆野中 悠太郎,35.7,428(-4),本間 忍,13,42,17.5,1.2,北西
3,11,スウィートメリナ,牝2,54,田辺 裕信,35.3,420(-4),菊川 正達,3,42,17.5,1.2,北西
4,18,ザンセツ,牡2,55,内田 博幸,35.2,430(-2),古賀 慎明,6,42,17.5,1.2,北西
5,4,ディーバダンス,牝2,54,丹内 祐次,35.7,452(+4),大江原 哲,16,42,17.5,1.2,北西
6,2,シャチ,牡2,55,戸崎 圭太,34.6,438(+2),小桧山 悟,4,42,17.5,1.2,北西
7,5,エースインザハート,牡2,55,宮崎 北斗,36,436(-4),高市 圭二,7,42,17.5,1.2,北西
8,12,ヴェロニク,牝2,54,木幡 巧也,35,416(-12),松永 康利,15,42,17.5,1.2,北西
9,7,コスモビートイット,牡2,55,柴田 大知,35.7,446(0),清水 英克,2,42,17.5,1.2,北西
10,10,ベアーズレター,牡2,55,江田 照男,35.3,464(0),佐藤 吉勝,14,42,17.5,1.2,北西
11,9,ヨンウォニ,牝2,54,大野 拓弥,35.8,428(+6),田中 清隆,10,42,17.5,1.2,北西
12,15,スパークジョイ,牝2,54,吉田 豊,36.4,452(+4),古賀 史生,9,42,17.5,1.2,北西
13,8,テリオスベル,牝2,54,松岡 正海,35.4,424(-6),田島 俊明,11,42,17.5,1.2,北西
14,17,スターオブフォース,牡2,55,M.デムーロ,36.3,448(+2),土田 稔,8,42,17.5,1.2,北西
15,3,シラカワカツコ,牝2,51,▲山田 敬士,36.1,402(+8),伊藤 伸一,12,42,17.5,1.2,北西
16,16,ニシノカリウド,牡2,54,☆武藤 雅,37,460(-10),水野 貴広,5,42,17.5,1.2,北西
17,14,ナムラアロハ,牝2,53,☆菊沢 一樹,36.9,380(+2),石栗 龍彦,18,42,17.5,1.2,北西
18,13,ビチュリス,牝2,54,杉原 誠人,37,418(-2),蛯名 利弘,17,42,17.5,1.2,北西
,,,,,,,,,,,,,
2019/10/19,４R,,,,,,,,,,,,
1,11,ウーゴ,牡2,55,藤井 勘一郎,35.3,480(初出走),高橋 亮,7,42,17.5,1.2,北西
2,4,ゲンパチマイティー,牡2,55,田辺 裕信,35.7,516(初出走),牧浦 充徳,5,42,17.5,1.2,北西
3,5,フラッフィクラウド,牡2,55,津村 明秀,35.4,460(初出走),萩原 清,8,42,17.5,1.2,北西
4,12,マルガイアメリカンフェイス,牡2,54,☆武藤 雅,35.3,470(初出走),戸田 博文,4,42,17.5,1.2,北西
5,8,ショウナンアサヤケ,牡2,55,内田 博幸,36,496(初出走),武市 康男,10,42,17.5,1.2,北西
6,10,ヒートライトニング,牝2,54,吉田 豊,35.9,458(初出走),堀井 雅広,11,42,17.5,1.2,北西
7,9,ラストラフ,牝2,54,C.ルメール,36.6,480(初出走),小崎 憲,3,42,17.5,1.2,北西
8,16,セイユメアカリ,牡2,55,北村 宏司,36.6,432(初出走),浅野 洋一郎,13,42,17.5,1.2,北西
9,15,キラークイーン,牝2,54,福永 祐一,36.6,450(初出走),久保田 貴士,6,42,17.5,1.2,北西
10,2,ロワルゼル,牡2,55,大野 拓弥,36.4,486(初出走),新開 幸一,9,42,17.5,1.2,北西
11,7,ホウオウレガシー,牡2,55,M.デムーロ,38.9,478(初出走),栗田 徹,2,42,17.5,1.2,北西
12,14,マイネルエピキュア,牡2,55,柴田 大知,37.8,470(初出走),和田 雄二,12,42,17.5,1.2,北西
13,6,マルガイベッサメモー,牝2,54,武 豊,38.5,522(初出走),武 幸四郎,1,42,17.5,1.2,北西
14,3,ミヤビキング,牡2,54,☆野中 悠太郎,39.1,546(初出走),小島 茂之,14,42,17.5,1.2,北西
15,1,ルピナスガーデン,牝2,54,松岡 正海,37.8,456(初出走),竹内 正洋,15,42,17.5,1.2,北西
16,13,カシノギルガメシュ,牡2,55,石川 倭,39.5,472(初出走),天間 昭一,16,42,17.5,1.2,北西
,,,,,,,,,,,,,
2019/10/19,５R,,,,,,,,,,,,
1,13,フィリオアレグロ,牡2,55,M.デムーロ,34.4,472(初出走),堀 宣行,1,42,17.5,1.2,北西
2,1,レッドルレーヴ,牝2,54,C.ルメール,34.2,436(初出走),藤沢 和雄,2,42,17.5,1.2,北西
3,3,シェーンクラート,牡2,54,☆野中 悠太郎,35.5,486(初出走),黒岩 陽一,11,42,17.5,1.2,北西
4,5,デジマノハナ,牝2,54,横山 典弘,34.6,472(初出走),武井 亮,9,42,17.5,1.2,北西
5,2,マブルーク,牡2,55,武 豊,34.3,438(初出走),矢作 芳人,8,42,17.5,1.2,北西
6,7,サトノフラッグ,牡2,55,戸崎 圭太,35.4,494(初出走),国枝 栄,3,42,17.5,1.2,北西
7,12,エルバルーチェ,牝2,54,田辺 裕信,35.7,460(初出走),小島 茂之,6,42,17.5,1.2,北西
8,4,アラタ,牡2,55,大野 拓弥,35.5,452(初出走),和田 勇介,7,42,17.5,1.2,北西
9,11,ブロフェルド,牡2,55,津村 明秀,36.3,504(初出走),藤岡 健一,5,42,17.5,1.2,北西
10,6,ベルベストスター,牡2,55,内田 博幸,35.8,456(初出走),菊沢 隆徳,13,42,17.5,1.2,北西
11,8,エボカシオン,牡2,55,A.シュタルケ,35.3,508(初出走),橋田 満,4,42,17.5,1.2,北西
12,10,ホウオウゴースト,牡2,55,松岡 正海,36.7,432(初出走),斎藤 誠,10,42,17.5,1.2,北西
13,9,マイネルドゥマン,牡2,55,丹内 祐次,37.5,474(初出走),松山 将樹,12,42,17.5,1.2,北西
,,,,,,,,,,,,,
2019/10/19,９R,,,,,,,,,,,,
1,7,ワーケア,牡2,55,C.ルメール,33.3,486(+2),手塚 貴久,1,42,17.5,1.2,北西
2,2,クリスティ,牝2,54,福永 祐一,33.9,484(+18),杉山 晴紀,4,42,17.5,1.2,北西
3,8,ショコラブリアン,牝2,54,田辺 裕信,34,502(-12),尾関 知人,2,42,17.5,1.2,北西
4,1,アマゾーヌ,牝2,54,武 豊,34.3,466(+2),斎藤 誠,3,42,17.5,1.2,北西
5,6,カクチフジノロケット,牡2,55,石川 倭,34,438(+5),米川 昇,6,42,17.5,1.2,北西
6,5,スリリングドリーム,牝2,54,丹内 祐次,35.6,444(+12),小野 次郎,5,42,17.5,1.2,北西
7,4,ペリトモレノ,牝2,54,杉原 誠人,34.8,458(0),大江原 哲,8,42,17.5,1.2,北西
8,3,ガッツ,牡2,55,大野 拓弥,35.1,480(+2),伊藤 大士,7,42,17.5,1.2,北西
,,,,,,,,,,,,,
2019/10/20,1R,,,,,,,,,,,,
1,2,タイキルークス,牡2,54,☆菊沢 一樹,36.8,510(-10),菊沢 隆徳,4,0,20,1.4,東南東
2,12,タッシーアレッタ,牝2,54,松岡 正海,36.9,426(+2),中舘 英二,7,0,20,1.4,東南東
3,15,オメガドラゴン,牡2,55,大野 拓弥,36.4,482(+2),安田 翔伍,1,0,20,1.4,東南東
4,1,リュウノチョッパー,牡2,52,▲山田 敬士,36,466(-6),伊藤 伸一,10,0,20,1.4,東南東
5,7,ハイエストエンド,牡2,55,戸崎 圭太,37,494(-4),小西 一男,2,0,20,1.4,東南東
6,9,カズオルヴァル,牡2,55,松若 風馬,37.3,476(-4),安田 隆行,6,0,20,1.4,東南東
7,10,ディーエスプルーフ,牡2,55,三浦 皇成,36.7,440(0),伊藤 圭三,3,0,20,1.4,東南東
8,14,アポロファントム,牡2,55,津村 明秀,37.3,454(-6),鈴木 伸尋,5,0,20,1.4,東南東
9,13,シゲルメイオウセイ,牡2,55,古川 吉洋,38.2,476(+16),松山 将樹,9,0,20,1.4,東南東
10,4,ロードアンバー,せん2,55,北村 宏司,37.9,438(0),高柳 瑞樹,8,0,20,1.4,東南東
11,8,マルゼンスター,牡2,53,△木幡 育也,37.4,506(+10),勢司 和浩,13,0,20,1.4,東南東
12,11,ショウリオウ,牡2,55,武士沢 友治,38.9,440(-4),武市 康男,14,0,20,1.4,東南東
13,5,ヴォーグロックユー,牡2,55,木幡 巧也,39.7,474(+10),牧 光二,11,0,20,1.4,東南東
14,3,カツノセヴンス,牡2,55,宮崎 北斗,40,460(-2),伊藤 伸一,15,0,20,1.4,東南東
15,6,サノチナ,牝2,53,☆野中 悠太郎,41,400(0),清水 英克,12,0,20,1.4,東南東
,,,,,,,,,,,,,
2019/10/20,2R,,,,,,,,,,,,
1,3,コスモギンガ,牝2,54,丹内 祐次,34.9,444(-10),高橋 祥泰,6,0,20,1.4,東南東
2,4,プントファイヤー,牡2,55,松岡 正海,34.4,506(+10),手塚 貴久,1,0,20,1.4,東南東
3,5,ジェイケイエピファ,牝2,54,北村 宏司,33.8,462(-4),鹿戸 雄一,5,0,20,1.4,東南東
4,1,アスターファゴット,牡2,55,松若 風馬,34.5,490(0),中竹 和也,4,0,20,1.4,東南東
5,6,スパニッシュアート,牝2,54,三浦 皇成,34.5,406(-6),戸田 博文,3,0,20,1.4,東南東
6,7,キンブレル,牡2,55,戸崎 圭太,34.5,450(+2),矢野 英一,2,0,20,1.4,東南東
7,10,ロッソモラーレ,牡2,55,内田 博幸,34.5,444(0),奥平 雅士,7,0,20,1.4,東南東
8,2,クラウンデフィート,牡2,55,木幡 巧也,35.3,476(-6),武市 康男,8,0,20,1.4,東南東
9,9,ミスターサンライズ,牡2,54,☆武藤 雅,35.2,448(+20),和田 正一郎,9,0,20,1.4,東南東
10,8,カゼニノッテ,牝2,54,大庭 和弥,35.5,448(-4),松永 康利,10,0,20,1.4,東南東
,,,,,,,,,,,,,
2019/10/20,3R,,,,,,,,,,,,
1,12,メイショウテンスイ,牡2,55,古川 吉洋,35.9,512(初出走),南井 克巳,1,0,20,1.4,東南東
2,14,オイデヤスダイジン,牝2,54,伊藤 工真,35.9,458(初出走),金成 貴史,4,0,20,1.4,東南東
3,16,メタルスパーク,牡2,55,三浦 皇成,35.7,488(初出走),伊藤 圭三,3,0,20,1.4,東南東
4,9,アポロティアモ,牡2,55,戸崎 圭太,36.1,494(初出走),岩戸 孝樹,2,0,20,1.4,東南東
5,10,ナーラック,牝2,52,△木幡 育也,36.3,448(初出走),柄崎 孝,8,0,20,1.4,東南東
6,3,ネネサマ,牝2,54,北村 宏司,35.5,456(初出走),勢司 和浩,7,0,20,1.4,東南東
7,8,トミケンリューヤー,牡2,54,☆武藤 雅,37.5,496(初出走),水野 貴広,11,0,20,1.4,東南東
8,7,サノハニー,牝2,53,☆野中 悠太郎,37.2,472(初出走),中野 栄治,6,0,20,1.4,東南東
9,1,タニセンシロッコ,牡2,55,武士沢 友治,36.6,450(初出走),加藤 士津八,9,0,20,1.4,東南東
10,2,タシロ,牡2,55,大野 拓弥,36.7,506(初出走),的場 均,5,0,20,1.4,東南東
11,11,リディアンスケール,牡2,52,▲山田 敬士,38.8,472(初出走),高市 圭二,13,0,20,1.4,東南東
12,6,プログラマー,牡2,55,松岡 正海,38.6,480(初出走),田中 剛,10,0,20,1.4,東南東
13,5,リバティラン,牝2,54,服部 茂史,38,410(初出走),小桧山 悟,15,0,20,1.4,東南東
14,4,ダイヤキングダム,牡2,55,宮崎 北斗,37.6,492(初出走),大江原 哲,14,0,20,1.4,東南東
15,15,ミスターコクオウ,牡2,55,内田 博幸,39.1,544(初出走),武市 康男,12,0,20,1.4,東南東
16,13,アークウェザー,牡2,55,丹内 祐次,40.2,414(初出走),的場 均,16,0,20,1.4,東南東
,,,,,,,,,,,,,
2019/10/20,4R,,,,,,,,,,,,
1,4,フィオリキアリ,牝2,54,宮崎 北斗,33.6,440(初出走),清水 久詞,5,0,20,1.4,東南東
2,14,エンスロール,牡2,55,A.シュタルケ,33.7,502(初出走),須貝 尚介,4,0,20,1.4,東南東
3,1,メガフロート,牡2,55,石川 裕紀人,34,442(初出走),田中 剛,10,0,20,1.4,東南東
4,17,ショウナンアクア,牡2,55,吉田 豊,34.1,460(初出走),古賀 史生,11,0,20,1.4,東南東
5,11,モノポーラ,牝2,53,☆菊沢 一樹,34.5,422(初出走),林 徹,6,0,20,1.4,東南東
6,18,アイドンノー,牡2,55,松若 風馬,34.7,482(初出走),牧田 和弥,9,0,20,1.4,東南東
7,10,アプローズユウ,牝2,54,津村 明秀,34.2,470(初出走),手塚 貴久,8,0,20,1.4,東南東
8,3,チャムランテソーロ,牡2,55,戸崎 圭太,34,458(初出走),田中 博康,3,0,20,1.4,東南東
9,2,ヒロノホマレボシ,牡2,55,服部 茂史,34.8,434(初出走),蛯名 利弘,17,0,20,1.4,東南東
10,12,マイネルインパクト,牡2,55,丹内 祐次,34.7,474(初出走),高木 登,7,0,20,1.4,東南東
11,15,スパングルドスター,牝2,54,北村 宏司,34.5,444(初出走),藤沢 和雄,1,0,20,1.4,東南東
12,9,グランコマトー,牡2,55,古川 吉洋,35,438(初出走),浜田 多実雄,14,0,20,1.4,東南東
13,6,マルガイグランバロン,牡2,55,大野 拓弥,35,466(初出走),栗田 徹,2,0,20,1.4,東南東
14,16,フィリップクロノス,牡2,52,▲山田 敬士,35.3,456(初出走),小桧山 悟,18,0,20,1.4,東南東
15,13,アプローズパワー,牝2,54,伊藤 工真,35,424(初出走),金成 貴史,15,0,20,1.4,東南東
16,7,パワポケーションズ,牡2,53,△木幡 育也,35.1,416(初出走),鹿戸 雄一,16,0,20,1.4,東南東
17,5,シゲルタイタニア,牡2,54,☆野中 悠太郎,35.8,492(初出走),清水 英克,12,0,20,1.4,東南東
18,8,フクシマトレジャー,牡2,55,武士沢 友治,35.5,438(初出走),小桧山 悟,13,0,20,1.4,東南東
,,,,,,,,,,,,,
2019/10/20,5R,,,,,,,,,,,,
1,1,ゼンノジャスタ,牡2,55,田中 健,34.3,460(+6),浅見 秀一,2,0,20,1.4,東南東
2,10,モーベット,牝2,54,戸崎 圭太,34,454(-16),藤沢 和雄,1,0,20,1.4,東南東
3,4,ホープホワイト,牝2,54,大野 拓弥,35,452(+8),武井 亮,8,0,20,1.4,東南東
4,3,コスモカッティーボ,牡2,55,丹内 祐次,35.3,456(0),畠山 吉宏,7,0,20,1.4,東南東
5,6,テリオスヒメ,牝2,54,松岡 正海,35.9,442(-4),田島 俊明,6,0,20,1.4,東南東
6,9,クイックレス,牝2,54,三浦 皇成,35.2,450(0),中舘 英二,4,0,20,1.4,東南東
7,8,トロワマルス,牝2,52,△木幡 育也,36.4,460(-10),杉浦 宏昭,5,0,20,1.4,東南東
8,5,メイショウベンガル,牡2,55,内田 博幸,35.1,446(0),松永 昌博,3,0,20,1.4,東南東
9,7,カクチダリル,牡2,55,服部 茂史,34.8,442(+4),田中 淳司,11,0,20,1.4,東南東
10,11,レムリアンシード,牡2,55,津村 明秀,35.6,434(0),武藤 善則,10,0,20,1.4,東南東
11,2,マルチアスタウンデッド,牡2,54,☆武藤 雅,36.2,430(+4),小島 茂之,9,0,20,1.4,東南東
,,,,,,,,,,,,,
2019/10/21,1R,,,,,,,,,,,,
1,4,ラブリーエンジェル,牝2,54,武士沢 友治,38.3,432(0),堀井 雅広,5,6,17.9,1.1,北東
2,13,クーレクー,牝2,54,木幡 巧也,38.5,456(-4),伊藤 大士,4,6,17.9,1.1,北東
3,1,ルミナスナイト,牝2,53,☆菊沢 一樹,38.3,496(-4),畠山 吉宏,8,6,17.9,1.1,北東
4,9,ユークレース,牝2,54,丸山 元気,39.9,456(+6),菊沢 隆徳,1,6,17.9,1.1,北東
5,3,セイレーンズベルン,牝2,54,北村 宏司,40,412(+2),加藤 和宏,3,6,17.9,1.1,北東
6,2,レヴィ,牝2,51,▲大塚 海渡,40.4,442(-4),林 徹,9,6,17.9,1.1,北東
7,6,ラララ,牝2,51,▲菅原 明良,39.7,412(-2),武市 康男,11,6,17.9,1.1,北東
8,10,ユラ,牝2,51,▲山田 敬士,39.4,464(+6),小桧山 悟,12,6,17.9,1.1,北東
9,7,エオスモン,牝2,54,岩田 康誠,40.9,460(-6),須貝 尚介,6,6,17.9,1.1,北東
10,8,シェーブルドール,牝2,54,吉田 豊,40.1,466(+6),竹内 正洋,7,6,17.9,1.1,北東
